

1	Titulus	Titulus	NE	Titulus	nom|sg|masc	PNC	2
2	quintus	Quintus	NE	Quintus	nom|sg|masc	--	0
3	.	.	SENT	.	_	--	2

1	DE	DE	NE	de	*|*|*	PNC	2
2	STUPRO	STUPRO	NE	STUPRO	nom|sg|neut	--	0
3	.	.	SENT	.	_	--	2

1	Von	Von	APPR	von	_	--	0
2	Jungfrawen	Jungfrawen	NN	Jungfrawen	dat|pl|masc	NK	1
3	oder	oder	KON	oder	_	CD	2
4	Wittwenschwechung	Wittwenschwechung	NN	Wittwenschwechung	nom|sg|fem	CJ	3
5	.	.	SENT	.	_	--	4

1	I	I	CARD	1	_	--	0
2	.	.	SENT	.	_	--	1

1	WVrde	WVrde	NN	WVrde	sg|3|past|subj	MO	95
2	ein	ein	ART	ein	nom|sg|masc	NK	3
3	Gesell	Gesell	NN	Geselle	nom|sg|masc	SB	1
4	oder	oder	KON	oder	_	CD	3
5	Witwer	Witwer	NN	Witwer	nom|sg|masc	CJ	4
6	/	/	$,	/	_	--	5
7	beschlagen	beschlagen	VVPP	beschlagen	_	OC	1
8	mit	mit	APPR	mit	_	MO	7
9	einer	einer	ART	ein	dat|sg|fem	NK	11
10	vnberuͤchtigen	vnberüchtigen	NN	vnberüchtigen	dat|sg|fem|pos	NK	11
11	Erbarn	Erbarn	NN	Erbarn	dat|sg|fem	NK	8
12	Wittfrawen	Wittfrawen	NN	Wittfrawen	nom|sg|neut	NK	11
13	oder	oder	KON	oder	_	CD	12
14	Jungfrawen	Jungfrawen	NN	Jungfrawen	acc|pl|masc	CJ	13
15	/	/	$,	/	_	--	14
16	die	die	PRELS	d	nom|pl|*	SB	27
17	bey	bei	APPR	bei	_	MO	27
18	jhren	ihren	PPOSAT	ihr	dat|pl|*	NK	19
19	Eltern	Eltern	NN	Eltern	dat|pl|*	NK	17
20	/	/	$,	/	_	--	19
21	Vormunden	Vormunden	NN	Vormunden	dat|pl|*	PD	27
22	/	/	$,	/	_	--	21
23	oder	oder	KON	oder	_	CD	21
24	sonsten	sonsten	ADV	sonst	_	MO	26
25	ehrlichen	ehrlichen	ADJA	ehrlich	dat|pl|*|pos	NK	26
26	Leuten	Leuten	NN	Leute	dat|pl|*	CJ	23
27	ist	ist	VAFIN	sein	sg|3|pres|ind	RC	11
28	vnd	und	KON	und	_	CD	27
29	mit	mit	APPR	mit	_	MO	37
30	denselben	denselben	PDS	derselbe	dat|sg|fem	SB	222
31	zur	zur	APPRART	zur	dat|sg|fem	MNR	30
32	Kirchen	Kirchen	NN	Kirche	dat|sg|fem	NK	31
33	/	/	$,	/	_	--	32
